district,count
Vila Maria Trindade,1
Guaianazes,1
Vila Rio Branco,1
Conjunto Promorar Sapopemba,1
São Miguel Paulista,1
Parque Artur Alvim,1
Parque Cruzeiro do Sul,1
Vila Santa Teresa (zona Leste),1
Jardim Iporanga,1
Vila Fidalgo,1
Brás ,1
República ,1
Jardim das Perdizes,1
Vila São Ricardo,1
Vila Parapuã,1
Jardim Piracuama,1
Vila Planalto,1
Jardim Divinolandia,1
Cidade São Mateus,1
Jardim Lideranca,1
Jardim Tietê,1
Conjunto Habitacional Padre Manoel da Nobrega,1
Jardim Sao Gabriel,1
Vila São Francisco (zona Leste),1
Jd Tranquilidade ,1
Vila Lais,1
Vila Caraguata,1
Jardim Tijuco,1
Jardim Pinhal,1
Vila Santa Terezinha,1
Jardim do Mar,1
Jardim Rosana,1
Chácara Santo Antônio (Zona Sul),1
Terceira Divisão de Interlagos,1
Jardim Ernestina,1
Jardim Primavera (zona Sul),1
Vila Aurora (Zona Norte),1
Jardim Sao Bento,1
Jardim do Colégio (zona Norte),1
Jardim Santa Mônica,1
Residencial Cinco (alphaville),1
Jardim Vitoria Regia,1
Residencial Tres (tambore),1
Vila São Francisco (zona Sul),1
Jardim Vitoria Regia (zona Oeste),1
Vila Morellato,1
Vila Sargento José de Paula,1
Residencial Seis (alphaville),1
Jardim Maria Rita,1
Jardim da Campina,1
Vila Carlos de Campos,1
Vila Vivaldi,1
Vila Califórnia(zona Sul),1
Jardim Marajoara ,1
Jardim Bélgica,1
Vila California(zona Sul),1
Vila Sao Domingos,1
Santa Rita,1
Jardim Inga,1
Jardim do Carmo,1
Vila Conceição,1
Alphaville Residencial Dois,1
Vila Pouso Alegre,1
Alphaville Residencial Plus,1
Jardim Regina Alice,1
Centro de Apoio I (alphaville),1
Parque Santa Luzia,1
Nova Aldeinha,1
Pacaembu.,1
Parque Munhoz,1
Jardim dos Prados,1
Bolsão do Interlagos,1
