district,count
Jurubatuba,8
Vila Santa Luzia,8
Vila Tolstoi,8
Macedo,8
Jardim Cidália,8
Chácara Monte Alegre,8
Vila Rosália,8
Jardim Novo Santo Amaro,8
Gopoúva,8
Jardim Vera Cruz,8
Jardim Pinheiros,8
Usina Piratininga,8
Jardim,8
Parque Novo Mundo,8
Vila Paulo Silas,8
Jardim Vergueiro (sacomã),8
Cangaiba,8
Jardim Leonor Mendes de Barros,8
Campanário,8
Jardim Santa Emília,8
Vila Vera,8
Vila do Castelo,8
Vila Amélia,8
Vila Diva (zona Leste),8
Carandiru,8
Utinga,8
Jardim Ampliacao,8
Vila Nivi,8
Vila Santana,8
Vila Arriete,8
Jardim Santa Cruz (campo Grande),8
Parque Assunção,7
Jardim Previdência,7
Jardim Filhos da Terra,7
Cursino,7
Vila Fachini,7
Vila Ester (zona Norte),7
Vila das Merces,7
Jardim Íris,7
Vila Constancia,7
Sítio da Figueira,7
Jardim Monte Alegre,7
Vila Indiana,7
Jardim Consórcio,7
Jardim Casablanca,7
Jardim Modelo,7
Jardim Umarizal,7
Vila Babilônia,7
Jardim Maria Estela,7
Jardim Satelite,7
Jardim Santa Cruz (sacomã),7
Parque Vitoria,7
Panamby,7
Vila das Mercês,7
Jardim Bela Vista,7
Osvaldo Cruz,7
Luz,7
Vila Mangalot,7
Km 18,7
Sítio Morro Grande,7
Parque Fongaro,7
Jardim Utinga,7
Vila Ivone,7
Jardim Las Vegas,7
Vila Lageado,7
Vila São Pedro,7
Vila Libanesa,7
Vila Vermelha,6
Jardim Campo Grande,6
Vila das Bandeiras,6
Chácara Cruzeiro do Sul,6
Vila Cruz das Almas,6
Vila Canero,6
Vila Graciosa,6
Jardim Vitória Régia,6
Jardim Europa,6
Vila Roque,6
Parque Maria Luiza,6
Vila Sao Pedro,6
Conceição,6
Vila Araguaia,6
Jardim Santo Amaro,6
Umuarama,6
Ferreira,6
Jardim Santa Emilia,6
Vila California,6
Itaberaba,6
Sacoma,6
Sapopemba,6
São Judas,6
City Bussocaba,6
Cidade das Flores,6
Mandaqui,6
Vila Santa Teresa,6
Jardim Planalto,6
Cangaíba,6
Cidade Antônio Estevão de Carvalho,6
Vila Brasílio Machado,6
Vila Primavera,6
Parque São Jorge,6
Vila Califórnia,6
Vila Alzira,6
Jardim Iva,6
Vila Azevedo,6
Jardim Palmira,6
Jaraguá,6
Pari,6
Vila São Paulo,6
Vila Palmares,6
Vila Oratório,6
Vila Endres,6
Cidade Dutra,6
Cidade São Francisco,6
Jardim Franca,6
Portal dos Gramados,6
Vila Miriam,6
Vila Marieta,6
Jardim Nosso Lar,5
Jardim Monte Azul,5
Jardim Jussara,5
Vila Antonina,5
Lapa de Baixo,5
Parque Colonial,5
Vila Mafra,5
Jardim Barbosa,5
Vila Boacava,5
Vila Pires,5
Jardim Palmares (zona Sul),5
Vila Carbone,5
Vila Inglesa,5
Olímpico,5
Vila Independencia,5
Jardim Luísa,5
Jardim das Esmeraldas,5
Cidade Ademar,5
Parque Sevilha,5
Alphaville Centro Industrial E Empresarial/alphaville.,5
Vila Guaca,5
Vila Rosalia,5
Vila Pierina,5
Vila Guiomar,5
Jardim Jaqueline,5
Jardim Independência,5
Vila Bandeirantes,5
Vila Babilonia,5
Vila Amália (zona Norte),5
Vila Venditti,5
Conjunto Residencial José Bonifácio,5
Catumbi,5
Vila Paiva,5
Parque Paineiras,5
Jardim Rosa de Franca,5
Jardim Ângela (zona Leste),5
Canhema,5
Maranhão,5
Continental,5
Jardim Miriam,5
Vila Nova Savoia,5
Vila Yara,5
Vila Paranagua,5
Vila Anastácio,5
Parque Maria Domitila,5
Vila Ede,5
Quitaúna,5
Vila Sabrina,5
Bussocaba,5
Pacaembu,5
Jardim Olympia,5
Vila Socorro,5
Vila Cleonice,5
Mauá,5
Vila Campesina,5
Jardim Arize,5
Vila Industrial,5
Jardim Patente Novo,5
Jardim Independência (são Paulo),5
Chácara Agrindus,5
Vila Barbosa,5
Parque Bairro Morumbi,5
Engenheiro Goulart,5
Jardim City,5
Vila Leonor,5
Vila Nova Caledônia,5
Vila Emir,5
Jardim da Gloria,5
Jardim D’abril,5
Jardim Japao,5
Cipava,5
Vila Gilda,4
Vila Bremen,4
Vila Bruna,4
Vila Lúcia,4
Jardim Luanda,4
São João Climaco,4
Vila São Geraldo,4
Parque Casa de Pedra,4
Barro Branco (zona Norte),4
Vila Nova Caledonia,4
Jardim Sao Saverio,4
Jardim Vila Galvão,4
Boa Vista,4
Jardim Ipanema (zona Sul),4
Vila Anhangüera,4
Jardim Jaú (zona Leste),4
Jardim Sabara,4
Pedreira,4
Vila Euthalia,4
Vila Maria Baixa,4
Parque São Lucas,4
Parque Vitória,4
Vila Cláudia,4
Vila Principe de Gales,4
Vila Laís,4
Jardim Raposo Tavares,4
Vila Água Funda,4
Vila Zat,4
Jardim do Tiro,4
Loteamento City Jaragua,4
Jardim Monjolo,4
Parque Monte Alegre,4
Jardim São Luís,4
Vila Portugal,4
Chácara Santo Antônio,4
Vila Nair,4
Jardim Seckler,4
Canindé,4
Vila Nilo,4
Vila Camilópolis,4
Cidade Intercap,4
Alto da Boa Vista,4
Parque Bristol,4
Veloso,4
Vila Santa Edwiges,4
Casa Verde Média,4
Vila Silveira,4
Vila Curuçá,4
Adalgisa,4
Jardim Consorcio,4
Jardim Boa Vista (zona Oeste),4
Jardim Danfer,4
Vila Hebe,4
Piratininga,4
Vila São Luís(zona Oeste),4
Jardim Taboão,4
Jardim Santa Terezinha (zona Leste),4
Colônia (zona Leste),4
Vila Sao Paulo,4
Instituto de Previdência,4
Vila Sao Vicente,4
Sítio do Morro,4
Parque Monteiro Soares,4
Parque Sao Luis,4
Vila Santa Isabel,4
